,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
1874,Don Bradman Cricket 14,Jun 25 2014,0,341,20267,False,True,False,False,False,False,False,True,False,False,True,False,False,39.99,39.99,0.8104773300000001
1879,Blood Bowl: Chaos Edition,Oct 11 2012,0,1158,266693,False,False,False,False,False,True,False,False,False,False,True,False,False,29.99,29.99,7.998123069999999
1918,NBA 2K13,Oct 30 2012,90,451,108686,False,False,False,False,False,False,False,False,False,False,True,False,False,29.99,29.99,3.2594931399999996
1925,Pro Cycling Manager 2013,Jun 20 2013,0,118,34076,False,False,False,False,False,False,False,True,False,False,True,False,False,9.99,9.99,0.34041924
1994,F1 2013,Oct 3 2013,77,3188,260416,False,False,False,False,False,False,False,True,False,False,True,True,False,24.99,24.99,6.50779584
2008,Fast & Furious(tm): Showdown,May 21 2013,0,117,20267,False,False,True,False,False,False,False,False,False,False,True,True,False,29.99,29.99,0.60780733
2044,F1 2014,Oct 16 2014,61,1096,136844,False,False,False,False,False,False,False,False,False,False,True,True,False,29.99,29.99,4.10395156
2049,MUD Motocross World Championship,Feb 26 2013,0,0,12913,False,False,False,False,False,False,False,False,False,False,True,True,False,9.99,9.99,0.12900087000000002
2087,Next Car Game: Wreckfest,Jan 14 2014,0,6056,317449,False,True,True,False,False,False,False,True,True,False,True,True,False,39.99,39.99,12.694785509999999
2091,TrackMania2 Canyon,Feb 27 2013,81,916,170920,False,False,False,False,False,False,False,False,False,False,True,True,False,19.99,19.99,3.4166908
2116,Lords of Football,Apr 5 2013,52,215,41609,False,True,False,False,False,True,False,True,False,False,True,False,False,14.99,14.99,0.62371891
2148,TrackMania2 Stadium,Jun 20 2013,0,0,332514,False,False,False,False,False,False,False,False,False,False,True,True,False,9.99,9.99,3.32181486
2193,Project CARS,Mar 15 2015,83,0,563158,False,False,False,False,False,False,False,True,False,False,True,True,False,29.99,29.99,16.88910842
2196,Poker Night 2,Apr 26 2013,75,0,705382,False,False,False,False,True,False,False,False,False,False,True,False,False,4.99,4.99,3.51985618
2234,Blood Bowl 2,Sep 22 2015,76,1925,165002,True,False,False,False,False,True,False,False,False,False,True,False,False,44.99,44.99,7.42343998
2244,Frozen Cortex,Feb 19 2015,79,237,53805,False,True,False,False,False,True,False,False,False,False,True,False,False,24.99,24.99,1.34458695
2304,WWE 2K15,Apr 28 2015,70,2879,92186,False,False,True,False,False,False,False,True,False,False,True,False,False,49.99,49.99,4.608378140000001
2305,MotoGP(tm)13,Jun 20 2013,0,305,31566,False,False,False,False,False,False,False,True,False,False,True,True,False,19.99,19.99,0.6310043399999999
2357,TrackMania2 Valley,Jul 4 2013,0,279,96849,False,False,False,False,False,False,False,False,False,False,True,True,False,19.99,19.99,1.9360115099999997
2358,Urban Trial Freestyle,Sep 18 2013,58,1346,169306,False,False,True,False,False,False,False,True,False,False,True,True,False,6.99,6.99,1.18344894
2363,Gas Guzzlers Extreme,Oct 8 2013,73,1799,194953,False,False,True,False,False,False,False,False,False,False,True,True,False,24.99,24.99,4.87187547
2374,Assetto Corsa,Dec 19 2014,85,8286,375558,False,True,False,False,False,False,False,True,False,False,True,True,False,29.99,29.99,11.26298442
2378,Epigenesis,Aug 1 2014,0,1206,225084,False,True,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.0
2390,SNOW,Oct 10 2013,0,5699,1223523,True,True,False,False,False,False,False,True,True,True,True,False,False,0.0,0.0,0.0
2463,Depth Hunter 2: Deep Dive,Aug 20 2014,0,594,173252,False,True,True,True,True,False,False,True,False,False,True,False,False,14.99,14.99,2.59704748
2543,Speedball 2 HD,Dec 5 2013,53,478,140969,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,1.40828031
2547,Steel Storm A.M.M.O.,Sep 25 2013,0,0,1076,False,True,True,False,False,True,True,False,True,False,True,False,False,9.99,9.99,0.01074924
2589,Streamline,Sep 30 2016,0,0,505407,False,True,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.0
2593,Rocket League(r),Jul 7 2015,86,86627,4602110,False,True,True,False,False,False,False,False,False,False,True,True,False,19.99,19.99,91.99617889999999
2618,theHunter,Jun 3 2014,0,19923,4234444,False,False,True,True,False,False,False,True,False,True,True,False,False,0.0,0.0,0.0
2635,Pool Nation,Oct 18 2013,0,2372,227415,False,True,False,False,True,True,False,True,False,False,True,False,False,9.99,9.99,2.2718758500000003
2651,GRID Autosport,Jun 26 2014,78,5027,520114,False,False,False,False,False,False,False,False,False,False,True,True,False,39.99,39.99,20.799358859999998
2675,MXGP - The Official Motocross Videogame,Mar 28 2014,0,633,42685,False,False,False,False,False,False,False,True,False,False,True,True,False,19.99,19.99,0.8532731499999999
2676,MotoGP(tm)14,Jun 20 2014,76,326,17935,False,False,False,False,False,False,False,True,False,False,True,True,False,29.99,29.99,0.53787065
2700,Riptide GP2,Mar 7 2014,0,301,38022,False,True,True,False,False,False,False,True,False,False,True,True,False,6.99,6.99,0.26577378
2740,Beast Boxing Turbo,Nov 19 2013,0,243,32104,False,True,True,False,False,False,False,False,False,False,True,False,False,4.99,4.99,0.16019896000000003
2741,Shufflepuck Cantina Deluxe,Dec 6 2013,0,454,52191,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,0.52138809
2793,Lethal League,Aug 27 2014,82,3407,493570,False,True,True,False,False,False,False,False,False,False,True,False,False,13.99,13.99,6.9050443
2801,Basketball Pro Management 2014,Jan 6 2014,0,0,6995,False,False,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,0.0
2848,STARWHAL,Sep 29 2014,0,533,83936,False,True,True,False,True,False,False,False,False,False,True,False,False,11.99,11.99,1.00639264
2864,Probably Archery,Feb 6 2014,0,360,60082,False,True,True,False,True,False,False,False,False,False,True,False,False,4.99,4.99,0.29980918
2876,FootLOL: Epic Fail League,Apr 16 2014,0,636,80349,False,True,True,False,False,False,True,False,False,False,True,False,False,4.99,4.99,0.40094151
2890,Victory: The Age of Racing,Feb 12 2016,0,744,378966,False,True,False,False,False,False,False,True,False,True,True,True,False,0.0,0.0,0.0
2955,Gridiron Solitaire,Jan 21 2014,0,0,2332,False,False,False,False,True,False,False,False,False,False,True,False,False,7.99,7.99,0.01863268
2961,iRacing,Jan 12 2015,79,357,19908,False,False,False,False,False,False,False,True,False,False,True,True,True,9.99,9.99,0.19888092000000002
3018,Pool Nation VR,Jun 1 2016,0,426,33538,False,True,False,False,True,True,False,True,False,False,True,False,False,19.99,19.99,0.67042462
3041,The Golf Club,Aug 19 2014,70,877,38201,False,False,False,False,False,False,False,True,False,False,True,False,False,29.99,29.99,1.14564799
3048,Snow Horse,Aug 3 2016,0,0,0,False,True,True,False,True,False,False,True,False,False,True,False,False,5.99,5.99,0.0
3064,Robot Roller-Derby Disco Dodgeball,Feb 19 2015,0,2165,298976,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,2.9867702400000002
3109,Vertiginous Golf,May 6 2015,63,849,404254,False,True,False,False,False,False,False,False,False,False,True,False,False,9.99,9.99,4.03849746
3112,Pro Rugby Manager 2015,Sep 18 2014,0,143,15962,False,False,False,False,False,True,False,True,False,False,True,False,False,9.99,9.99,0.15946038
3122,Formula Truck 2013,Feb 2 2015,0,0,10044,False,False,False,False,False,False,False,True,False,False,True,True,False,14.99,14.99,0.15055956
3129,Stock Car Extreme,Feb 11 2015,0,330,22957,False,False,False,False,False,False,False,True,False,False,True,True,False,19.99,19.99,0.45891043
3139,OlliOlli,Jul 22 2014,78,696,193877,False,True,False,False,False,False,False,False,False,False,True,False,False,12.99,12.99,2.51846223
3150,Jet Car Stunts,May 1 2014,57,112,22239,False,True,False,False,False,False,False,False,False,False,True,True,False,2.99,2.99,0.06649461
3196,VIDEOBALL,Jul 12 2016,79,0,4842,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,0.048371580000000004
3213,Sportsfriends,Dec 19 2014,0,0,20087,False,True,False,False,False,False,False,False,False,False,True,False,False,14.99,14.99,0.30110413
3248,IHF Handball Challenge 14,Mar 28 2014,0,0,5919,False,False,False,False,False,False,False,False,False,False,True,False,False,9.99,9.99,0.05913081
3283,Foosball - Street Edition,Apr 16 2014,0,172,11299,False,True,False,False,True,False,False,False,False,False,True,False,False,4.99,4.99,0.05638201
3314,MX vs. ATV Supercross Encore,Oct 27 2015,0,392,13272,False,False,False,False,False,False,False,True,False,False,True,True,False,29.99,29.99,0.39802728
3319,NBA 2K15,Oct 6 2014,0,3635,254318,False,False,False,False,False,False,False,False,False,False,True,False,False,59.99,59.99,15.25653682
3358,IHF Handball Challenge 12,Mar 21 2014,0,0,11478,False,False,False,False,False,False,False,False,False,False,True,False,False,3.99,3.99,0.04579722
3422,ACE - Arena: Cyber Evolution,Aug 18 2014,0,1086,498412,False,True,True,False,False,True,False,False,True,True,True,False,False,0.0,0.0,0.0
3439,Dog Sled Saga,Dec 8 2014,0,0,9326,False,True,False,False,False,False,True,False,True,False,True,True,False,7.99,7.99,0.07451474000000001
3452,F1 2015,Jul 9 2015,61,2170,117653,False,False,False,False,False,False,False,False,False,False,True,True,False,54.99,54.99,6.46973847
