,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
8534,Into the Belly of the Beast,Jun 22 2016,0,0,0,False,True,True,True,True,False,False,False,False,False,False,False,False,14.99,14.99,0.0
8536,Kivi Toilet and Shotgun,Jan 15 2016,0,232,119985,False,True,True,True,True,False,False,False,False,False,False,False,False,0.99,0.99,0.11878514999999999
8538,Lost World Zero,Feb 12 2016,0,0,12375,False,True,True,True,True,False,True,False,True,False,False,False,True,9.99,9.99,0.12362625
8541,Zombie Wars: Invasion,Jan 14 2016,0,0,5560,False,True,False,False,True,True,False,False,False,False,False,False,False,2.99,2.99,0.0166244
8545,FullBlast,Jan 28 2016,0,0,1435,False,True,True,False,True,False,False,False,False,False,False,False,False,5.99,5.99,0.00859565
8547,Super Intergalactic Gang,Jan 15 2016,0,0,6636,False,True,True,False,True,False,False,False,False,False,False,False,False,3.99,3.99,0.026477640000000004
8548,Gems of the Aztecs,Apr 22 2016,0,0,17038,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.08501962
8549,Sepia Tears,Jan 8 2016,0,574,121778,False,True,False,False,True,False,False,True,False,True,False,False,False,0.0,0.0,0.0
8552,XenoShyft,Mar 29 2016,0,0,1076,False,True,False,False,True,True,False,False,False,False,False,False,False,9.99,9.99,0.01074924
8555,Resilience: Wave Survival,Dec 23 2015,0,111,5739,False,True,True,True,True,False,False,False,False,False,False,False,False,5.99,5.99,0.03437661
8560,Fairy Tale Mysteries: The Puppet Thief,Jan 7 2016,0,105,18652,False,False,False,True,True,False,False,False,False,False,False,False,False,9.99,9.99,0.18633348000000002
8561,The Emerald Maiden: Symphony of Dreams,Feb 18 2016,0,0,18294,False,False,False,True,True,False,False,False,False,False,False,False,False,9.99,9.99,0.18275706
8570,The Sad Story of Emmeline Burns,Jan 5 2016,0,362,65283,False,True,False,True,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0
8573,Elysium: Blood Games,Jan 5 2016,0,0,8788,False,True,False,False,True,True,False,True,False,False,True,False,False,4.99,4.99,0.04385212
8578,Nature Defenders,Dec 21 2015,0,0,1973,False,True,False,False,True,True,False,False,False,False,False,False,False,1.99,1.99,0.00392627
8583,Lucy -The Eternity She Wished For-,Feb 28 2016,0,352,16141,False,True,False,False,True,False,False,True,False,False,False,False,False,9.99,9.99,0.16124859
8588,Golf With Your Friends,Jan 29 2016,0,3956,692648,False,True,False,False,True,False,False,False,True,False,True,False,False,5.99,5.99,4.14896152
